keys,en,sv
NOTICE_INVENTORY,Inventory,Förvaring
UPGRADES,Upgrades,Uppgraderingar
ABILITIES,Abilities,Förmågor
ACTIVE_SKILLS,Active Skills,Aktiva förmågor
CARDS,Cards,Kort
INVENTORY,Inventory,Förvaring
KEYS,Keys,Nycklar
HACK,Hack,Hacka
LEAVE,Leave,Lämna i fred
DIFFICULTY,Difficulty,Svårighetsgrad
ATTEMPTS,Attempts,Försök
ATTEMPTS_REMAINING,Attempts Remaining,Återstående Försök
REBOOT,Reboot,Starta om
SELECT_ROBOT,Select Robot,Välj Robot
LOADOUT,Loadout,Utrusta
DEPLOY,Deploy,Sänd ut
NO_ROBOTS_AVAILABLE,No robot is available for a mission,Inga robotar fill tillgängliga för ett uppdrag
CONSTRUCT_FIRST_ROBOT,Go to printers to construct your first robot,Gå till printers för att konstruera din första robot
PRINTER_ID,Printer {id},3D-skrivare {id}
STATUS_NOT_RENTED,Not rented,Inte hyrd
STATUS_IDLE,Idle,Stilla
STATUS_PRINTING_DAYS,"Printing
{days} days remain", "Skriver ut
{days} dagar kvar"
STATUS_PRINTING_DAY,"Printing
Done tomorrow","Skriver ut
Klar imorgon"
RENT_PRINTER,Rent Printer, Hyr 3D-skrivare
DOWN_PAYMENT,Down payment,Depositionsavgift
MONTHLY_RENT,Monthly rent,Månadshyra
ACTION_RENT,Rent,Hyr
ACTION_PRINT,Print,SKriv ut
ACTION_PRINT_FREE_SAMPLE,Print free sample,Skriv ut gratisprov 
ACTION_BUY_MISSING_RESOURCES,Buy missing resources,Köp de resurser som saknas
TOTAL_COST_PRICE,Total {price},Total {price}
